account_status	duration_months	credit_history	purpose	amount	savings_bonds	employment_since	installment_rate	sex_status	guarant_other	residence_since	property	age	other_installments	housing	number_of_credits	job	num_maintenance	telephone	foreign_workerer	credit
no_account	12	other_credits	business	1264	no_account	>7years	4	single_male	none	4	none	57	none	rent	1	unskilled_employee	1	none	yes	good_credit
>200DM	12	all_existing_credits_payed	house_investments	1474	<100DM	<1year	4	female	none	1	life_insurance	33	bank	own	1	high_qualified	1	yes	yes	good_credit
0-200DM	45	other_credits	house_investments	4746	<100DM	<1year	4	single_male	none	2	life_insurance	25	none	own	2	unskilled_employee	1	none	yes	bad_credit
no_account	48	other_credits	education	6110	<100DM	1-4years	1	single_male	none	3	none	31	bank	for_free	1	skilled_employee	1	yes	yes	good_credit
>200DM	18	all_existing_credits_payed	house_investments	2100	<100DM	1-4years	4	single_male	co-applicant	2	real_estate	37	stores	own	1	skilled_employee	1	none	yes	bad_credit
>200DM	10	all_existing_credits_payed	house_investments	1225	<100DM	1-4years	2	single_male	none	2	car_other	37	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	9	all_existing_credits_payed	house_investments	458	<100DM	1-4years	4	single_male	none	3	real_estate	24	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	30	all_existing_credits_payed	house_investments	2333	500-1000DM	>7years	4	single_male	none	2	car_other	30	bank	own	1	high_qualified	1	none	yes	good_credit
0-200DM	12	all_existing_credits_payed	house_investments	1158	500-1000DM	1-4years	3	male	none	1	car_other	26	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	18	delay_in_payments	house_investments	6204	<100DM	1-4years	2	single_male	none	4	real_estate	44	none	own	1	unskilled_employee	2	yes	yes	good_credit
negative	30	other_credits	car(used)	6187	100-500DM	4-7years	1	male	none	4	car_other	24	none	rent	2	skilled_employee	1	none	yes	good_credit
negative	48	other_credits	car(used)	6143	<100DM	>7years	4	female	none	4	none	58	stores	for_free	2	unskilled_employee	1	none	yes	bad_credit
no_account	11	other_credits	car(new)	1393	<100DM	<1year	4	female	none	4	car_other	35	none	own	2	high_qualified	1	none	yes	good_credit
no_account	36	all_existing_credits_payed	house_investments	2299	500-1000DM	>7years	4	single_male	none	4	car_other	39	none	own	1	skilled_employee	1	none	yes	good_credit
negative	6	all_existing_credits_payed	car(used)	1352	500-1000DM	unemployed	1	female	none	2	life_insurance	23	none	rent	1	none	1	yes	yes	good_credit
no_account	11	other_credits	car(new)	7228	<100DM	1-4years	1	single_male	none	4	life_insurance	39	none	own	2	unskilled_employee	1	none	yes	good_credit
no_account	12	all_existing_credits_payed	house_investments	2073	100-500DM	1-4years	4	female	co-applicant	2	real_estate	28	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	24	delay_in_payments	house_investments	2333	no_account	<1year	4	single_male	none	2	life_insurance	29	bank	own	1	unskilled_employee	1	none	yes	good_credit
0-200DM	27	delay_in_payments	car(used)	5965	<100DM	>7years	1	single_male	none	2	car_other	30	none	own	2	high_qualified	1	yes	yes	good_credit
no_account	12	all_existing_credits_payed	house_investments	1262	<100DM	1-4years	3	single_male	none	2	car_other	25	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	18	all_existing_credits_payed	car(used)	3378	no_account	1-4years	2	single_male	none	1	life_insurance	31	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	36	delay_in_payments	car(new)	2225	<100DM	>7years	4	single_male	none	4	none	57	bank	for_free	2	skilled_employee	1	yes	yes	bad_credit
no_account	6	all_credits_payed	car(new)	783	no_account	1-4years	1	single_male	guarantor	2	real_estate	26	stores	own	1	unskilled_employee	2	none	yes	good_credit
0-200DM	12	all_existing_credits_payed	house_investments	6468	no_account	unemployed	2	single_male	none	1	none	52	none	own	1	high_qualified	1	yes	yes	bad_credit
no_account	36	other_credits	house_investments	9566	<100DM	1-4years	2	female	none	2	car_other	31	stores	own	2	skilled_employee	1	none	yes	good_credit
>200DM	18	all_existing_credits_payed	car(new)	1961	<100DM	>7years	3	female	none	2	car_other	23	none	own	1	high_qualified	1	none	yes	good_credit
negative	36	other_credits	house_investments	6229	<100DM	<1year	4	female	co-applicant	4	none	23	none	rent	2	unskilled_employee	1	yes	yes	bad_credit
0-200DM	9	all_existing_credits_payed	business	1391	<100DM	1-4years	2	male	none	1	real_estate	27	bank	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	15	other_credits	house_investments	1537	no_account	>7years	4	single_male	guarantor	4	real_estate	50	none	own	2	skilled_employee	1	yes	yes	good_credit
0-200DM	36	all_credits_payed	business	1953	<100DM	>7years	4	single_male	none	4	none	61	none	for_free	1	high_qualified	1	yes	yes	bad_credit
0-200DM	48	all_credits_payed	business	14421	<100DM	1-4years	2	single_male	none	2	car_other	25	none	own	1	skilled_employee	1	yes	yes	bad_credit
no_account	24	all_existing_credits_payed	house_investments	3181	<100DM	<1year	4	female	none	4	life_insurance	26	none	own	1	skilled_employee	1	yes	yes	good_credit
no_account	27	all_existing_credits_payed	house_investments	5190	no_account	>7years	4	single_male	none	4	life_insurance	48	none	own	4	skilled_employee	2	yes	yes	good_credit
no_account	12	all_existing_credits_payed	house_investments	2171	<100DM	<1year	2	female	none	2	car_other	29	bank	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	12	all_existing_credits_payed	car(new)	1007	>1000DM	1-4years	4	male	none	1	real_estate	22	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	36	all_existing_credits_payed	education	1819	<100DM	1-4years	4	single_male	none	4	none	37	stores	for_free	1	skilled_employee	1	yes	yes	bad_credit
no_account	36	all_existing_credits_payed	house_investments	2394	no_account	1-4years	4	female	none	4	car_other	25	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	36	all_existing_credits_payed	car(used)	8133	<100DM	1-4years	1	female	none	2	life_insurance	30	bank	own	1	skilled_employee	1	none	yes	good_credit
no_account	7	other_credits	house_investments	730	no_account	>7years	4	single_male	none	2	life_insurance	46	none	rent	2	unskilled_employee	1	yes	yes	good_credit
negative	8	other_credits	other	1164	<100DM	>7years	3	single_male	none	4	none	51	bank	for_free	2	high_qualified	2	yes	yes	good_credit
0-200DM	42	other_credits	business	5954	<100DM	4-7years	2	female	none	1	real_estate	41	bank	own	2	unskilled_employee	1	none	yes	good_credit
negative	36	all_existing_credits_payed	education	1977	no_account	>7years	4	single_male	none	4	none	40	none	own	1	high_qualified	1	yes	yes	bad_credit
negative	12	other_credits	car(used)	1526	<100DM	>7years	4	single_male	none	4	none	66	none	for_free	2	high_qualified	1	none	yes	good_credit
negative	42	all_existing_credits_payed	house_investments	3965	<100DM	<1year	4	single_male	none	3	car_other	34	none	own	1	skilled_employee	1	none	yes	bad_credit
0-200DM	11	delay_in_payments	house_investments	4771	<100DM	4-7years	2	single_male	none	4	life_insurance	51	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	54	all_credits_payed	car(used)	9436	no_account	1-4years	2	single_male	none	2	life_insurance	39	none	own	1	unskilled_employee	2	none	yes	good_credit
0-200DM	30	all_existing_credits_payed	house_investments	3832	<100DM	<1year	2	male	none	1	life_insurance	22	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	24	all_existing_credits_payed	house_investments	5943	no_account	<1year	1	female	none	1	car_other	44	none	own	2	skilled_employee	1	yes	yes	bad_credit
no_account	15	all_existing_credits_payed	house_investments	1213	500-1000DM	>7years	4	single_male	none	3	life_insurance	47	stores	own	1	skilled_employee	1	yes	yes	good_credit
no_account	18	all_existing_credits_payed	business	1568	100-500DM	1-4years	3	female	none	4	life_insurance	24	none	rent	1	unskilled_employee	1	none	yes	good_credit
negative	24	all_existing_credits_payed	other	1755	<100DM	>7years	4	female	guarantor	4	real_estate	58	none	own	1	unskilled_employee	1	yes	yes	good_credit
negative	10	all_existing_credits_payed	house_investments	2315	<100DM	>7years	3	single_male	none	4	real_estate	52	none	own	1	unskilled_employee	1	none	yes	good_credit
no_account	12	other_credits	business	1412	<100DM	1-4years	4	female	guarantor	2	real_estate	29	none	own	2	high_qualified	1	yes	yes	good_credit
0-200DM	18	other_credits	house_investments	1295	<100DM	<1year	4	female	none	1	life_insurance	27	none	own	2	skilled_employee	1	none	yes	good_credit
0-200DM	36	all_existing_credits_payed	education	12612	100-500DM	1-4years	1	single_male	none	4	none	47	none	for_free	1	skilled_employee	2	yes	yes	bad_credit
negative	18	all_existing_credits_payed	car(new)	2249	100-500DM	4-7years	4	single_male	none	3	car_other	30	none	own	1	high_qualified	2	yes	yes	good_credit
negative	12	all_credits_payed	house_investments	1108	<100DM	4-7years	4	single_male	none	3	real_estate	28	none	own	2	skilled_employee	1	none	yes	bad_credit
no_account	12	other_credits	house_investments	618	<100DM	>7years	4	single_male	none	4	real_estate	56	none	own	1	skilled_employee	1	none	yes	good_credit
negative	12	other_credits	car(used)	1409	<100DM	>7years	4	single_male	none	3	real_estate	54	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	12	other_credits	house_investments	797	no_account	>7years	4	female	none	3	life_insurance	33	bank	own	1	unskilled_employee	2	none	yes	bad_credit
>200DM	24	other_credits	house_investments	3617	no_account	>7years	4	single_male	co-applicant	4	none	20	none	rent	2	skilled_employee	1	none	yes	good_credit
0-200DM	12	all_existing_credits_payed	car(new)	1318	>1000DM	>7years	4	single_male	none	4	real_estate	54	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	54	all_credits_payed	business	15945	<100DM	<1year	3	single_male	none	4	none	58	none	rent	1	skilled_employee	1	yes	yes	bad_credit
no_account	12	other_credits	education	2012	no_account	4-7years	4	female	none	2	car_other	61	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	18	all_existing_credits_payed	business	2622	100-500DM	1-4years	4	single_male	none	4	car_other	34	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	36	other_credits	house_investments	2337	<100DM	>7years	4	single_male	none	4	real_estate	36	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	20	delay_in_payments	car(used)	7057	no_account	4-7years	3	single_male	none	4	life_insurance	36	bank	rent	2	high_qualified	2	yes	yes	good_credit
no_account	24	all_existing_credits_payed	car(new)	1469	100-500DM	>7years	4	male	none	4	real_estate	41	none	rent	1	unskilled_employee	1	none	yes	good_credit
0-200DM	36	all_existing_credits_payed	house_investments	2323	<100DM	4-7years	4	single_male	none	4	car_other	24	none	rent	1	skilled_employee	1	none	yes	good_credit
no_account	6	delay_in_payments	house_investments	932	<100DM	1-4years	3	female	none	2	real_estate	24	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	9	other_credits	house_investments	1919	<100DM	4-7years	4	single_male	none	3	car_other	35	none	rent	1	skilled_employee	1	yes	yes	good_credit
no_account	12	all_existing_credits_payed	car(used)	2445	no_account	<1year	2	male	none	4	car_other	26	none	rent	1	skilled_employee	1	yes	yes	good_credit
0-200DM	24	other_credits	other	11938	<100DM	1-4years	2	single_male	co-applicant	3	car_other	39	none	own	2	high_qualified	2	yes	yes	bad_credit
no_account	18	all_credits_payed	car(new)	6458	<100DM	>7years	2	single_male	none	4	none	39	bank	own	2	high_qualified	2	yes	yes	bad_credit
0-200DM	12	all_existing_credits_payed	car(new)	6078	<100DM	4-7years	2	single_male	none	2	car_other	32	none	own	1	skilled_employee	1	none	yes	good_credit
negative	24	all_existing_credits_payed	house_investments	7721	no_account	<1year	1	female	none	2	life_insurance	30	none	own	1	skilled_employee	1	yes	no	good_credit
0-200DM	14	all_existing_credits_payed	business	1410	500-1000DM	>7years	1	male	none	2	real_estate	35	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	6	delay_in_payments	business	1449	100-500DM	>7years	1	male	none	2	car_other	31	bank	own	2	skilled_employee	2	none	yes	good_credit
>200DM	15	all_existing_credits_payed	education	392	<100DM	<1year	4	female	none	4	life_insurance	23	none	rent	1	skilled_employee	1	yes	yes	good_credit
0-200DM	18	all_existing_credits_payed	car(new)	6260	<100DM	4-7years	3	single_male	none	3	real_estate	28	none	rent	1	unskilled_employee	1	none	yes	good_credit
no_account	36	other_credits	car(new)	7855	<100DM	1-4years	4	female	none	2	real_estate	25	stores	own	2	skilled_employee	1	yes	yes	bad_credit
negative	12	all_existing_credits_payed	house_investments	1680	500-1000DM	>7years	3	male	none	1	real_estate	35	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	48	other_credits	house_investments	3578	no_account	>7years	4	single_male	none	1	real_estate	47	none	own	1	skilled_employee	1	yes	yes	good_credit
negative	42	all_existing_credits_payed	house_investments	7174	no_account	4-7years	4	female	none	3	car_other	30	none	own	1	high_qualified	1	yes	yes	bad_credit
negative	10	other_credits	house_investments	2132	no_account	<1year	2	female	co-applicant	3	real_estate	27	none	rent	2	skilled_employee	1	none	no	good_credit
negative	33	other_credits	house_investments	4281	500-1000DM	1-4years	1	female	none	4	car_other	23	none	own	2	skilled_employee	1	none	yes	bad_credit
0-200DM	12	other_credits	car(new)	2366	500-1000DM	4-7years	3	male	none	3	car_other	36	none	own	1	high_qualified	1	yes	yes	good_credit
negative	21	all_existing_credits_payed	house_investments	1835	<100DM	1-4years	3	female	none	2	real_estate	25	none	own	2	skilled_employee	1	yes	yes	bad_credit
no_account	24	other_credits	car(used)	3868	<100DM	>7years	4	female	none	2	car_other	41	none	rent	2	high_qualified	1	yes	yes	good_credit
no_account	12	all_existing_credits_payed	house_investments	1768	<100DM	1-4years	3	single_male	none	2	real_estate	24	none	rent	1	unskilled_employee	1	none	yes	good_credit
>200DM	10	other_credits	car(new)	781	<100DM	>7years	4	single_male	none	4	none	63	none	for_free	2	skilled_employee	1	yes	yes	good_credit
0-200DM	18	all_existing_credits_payed	house_investments	1924	no_account	<1year	4	female	none	3	real_estate	27	none	rent	1	skilled_employee	1	none	yes	bad_credit
negative	12	other_credits	car(new)	2121	<100DM	1-4years	4	single_male	none	2	life_insurance	30	none	own	2	skilled_employee	1	none	yes	good_credit
negative	12	all_existing_credits_payed	house_investments	701	<100DM	1-4years	4	male	none	2	real_estate	40	none	own	1	unskilled_employee	1	none	yes	good_credit
0-200DM	12	all_existing_credits_payed	house_investments	639	<100DM	1-4years	4	single_male	none	2	car_other	30	none	own	1	skilled_employee	1	none	yes	bad_credit
0-200DM	12	other_credits	car(used)	1860	<100DM	unemployed	4	single_male	none	2	car_other	34	none	own	2	high_qualified	1	yes	yes	good_credit
negative	12	other_credits	car(new)	3499	<100DM	1-4years	3	female	co-applicant	2	real_estate	29	none	own	2	skilled_employee	1	none	yes	bad_credit
0-200DM	48	all_existing_credits_payed	car(new)	8487	no_account	4-7years	1	female	none	2	car_other	24	none	own	1	skilled_employee	1	none	yes	good_credit
negative	36	delay_in_payments	education	6887	<100DM	1-4years	4	single_male	none	3	life_insurance	29	stores	own	1	skilled_employee	1	yes	yes	bad_credit
no_account	15	all_existing_credits_payed	house_investments	2708	<100DM	<1year	2	single_male	none	3	life_insurance	27	bank	own	2	unskilled_employee	1	none	yes	good_credit
no_account	18	all_existing_credits_payed	house_investments	1984	<100DM	1-4years	4	single_male	none	4	none	47	bank	for_free	2	skilled_employee	1	none	yes	good_credit
no_account	60	all_existing_credits_payed	house_investments	10144	100-500DM	4-7years	2	female	none	4	real_estate	21	none	own	1	skilled_employee	1	yes	yes	good_credit
no_account	12	other_credits	house_investments	1240	no_account	>7years	4	female	none	2	real_estate	38	none	own	2	skilled_employee	1	yes	yes	good_credit
no_account	27	delay_in_payments	car(used)	8613	>1000DM	1-4years	2	single_male	none	2	car_other	27	none	own	2	skilled_employee	1	none	yes	good_credit
0-200DM	12	all_existing_credits_payed	house_investments	766	500-1000DM	1-4years	4	single_male	none	3	real_estate	66	none	own	1	unskilled_employee	1	none	yes	bad_credit
0-200DM	15	other_credits	house_investments	2728	no_account	4-7years	4	single_male	guarantor	2	real_estate	35	bank	own	3	skilled_employee	1	yes	yes	good_credit
>200DM	12	all_existing_credits_payed	house_investments	1881	<100DM	1-4years	2	female	none	2	car_other	44	none	rent	1	unskilled_employee	1	yes	yes	good_credit
>200DM	6	all_existing_credits_payed	car(new)	709	>1000DM	<1year	2	male	none	2	real_estate	27	none	own	1	none	1	none	no	good_credit
0-200DM	36	all_existing_credits_payed	house_investments	4795	<100DM	<1year	4	female	none	1	none	30	none	own	1	high_qualified	1	yes	yes	good_credit
negative	27	all_existing_credits_payed	house_investments	3416	<100DM	1-4years	3	single_male	none	2	car_other	27	none	own	1	high_qualified	1	none	yes	good_credit
negative	18	all_existing_credits_payed	house_investments	2462	<100DM	1-4years	2	single_male	none	2	car_other	22	none	own	1	skilled_employee	1	none	yes	bad_credit
no_account	21	other_credits	house_investments	2288	<100DM	<1year	4	female	none	4	life_insurance	23	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	48	all_credits_payed	business	3566	100-500DM	4-7years	4	single_male	none	2	car_other	30	none	own	1	skilled_employee	1	none	yes	good_credit
negative	6	other_credits	car(new)	860	<100DM	>7years	1	female	none	4	none	39	none	own	2	skilled_employee	1	yes	yes	good_credit
no_account	12	other_credits	car(new)	682	100-500DM	4-7years	4	female	none	3	car_other	51	none	own	2	skilled_employee	1	yes	yes	good_credit
negative	36	other_credits	house_investments	5371	<100DM	1-4years	3	single_male	guarantor	2	life_insurance	28	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	18	other_credits	house_investments	1582	>1000DM	>7years	4	single_male	none	4	car_other	46	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	6	all_existing_credits_payed	house_investments	1346	100-500DM	>7years	2	single_male	none	4	none	42	bank	for_free	1	skilled_employee	2	yes	yes	good_credit
no_account	10	all_existing_credits_payed	house_investments	1924	<100DM	1-4years	1	single_male	none	4	life_insurance	38	none	own	1	skilled_employee	1	yes	no	good_credit
>200DM	36	all_existing_credits_payed	house_investments	5848	<100DM	1-4years	4	single_male	none	1	car_other	24	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	24	other_credits	car(used)	7758	>1000DM	>7years	2	female	none	4	none	29	none	rent	1	skilled_employee	1	none	yes	good_credit
0-200DM	24	delay_in_payments	business	6967	100-500DM	4-7years	4	single_male	none	4	car_other	36	none	rent	1	high_qualified	1	yes	yes	good_credit
negative	12	all_existing_credits_payed	house_investments	1282	<100DM	1-4years	2	female	none	4	car_other	20	none	rent	1	skilled_employee	1	none	yes	bad_credit
negative	9	other_credits	house_investments	1288	100-500DM	>7years	3	single_male	guarantor	4	real_estate	48	none	own	2	skilled_employee	2	none	no	good_credit
negative	12	all_credits_payed	education	339	<100DM	>7years	4	male	none	1	car_other	45	bank	own	1	unskilled_employee	1	none	yes	good_credit
0-200DM	24	all_existing_credits_payed	car(new)	3512	100-500DM	4-7years	2	single_male	none	3	car_other	38	bank	own	2	skilled_employee	1	yes	yes	good_credit
no_account	6	other_credits	house_investments	1898	no_account	1-4years	1	single_male	none	2	real_estate	34	none	own	2	unskilled_employee	2	none	yes	good_credit
no_account	24	other_credits	house_investments	2872	100-500DM	>7years	3	single_male	none	4	real_estate	36	none	own	1	skilled_employee	2	yes	yes	good_credit
no_account	18	other_credits	car(new)	1055	<100DM	<1year	4	female	none	1	life_insurance	30	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	15	all_existing_credits_payed	house_investments	1262	500-1000DM	4-7years	4	single_male	none	3	life_insurance	36	none	own	2	skilled_employee	1	yes	yes	good_credit
0-200DM	10	all_existing_credits_payed	car(new)	7308	<100DM	unemployed	2	single_male	none	4	none	70	bank	for_free	1	high_qualified	1	yes	yes	good_credit
no_account	36	all_existing_credits_payed	car(new)	909	500-1000DM	>7years	4	single_male	none	4	life_insurance	36	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	6	all_existing_credits_payed	house_investments	2978	500-1000DM	1-4years	1	single_male	none	2	car_other	32	none	own	1	skilled_employee	1	yes	yes	good_credit
negative	18	all_existing_credits_payed	house_investments	1131	<100DM	unemployed	4	female	none	2	car_other	33	none	own	1	skilled_employee	1	none	yes	bad_credit
0-200DM	11	all_existing_credits_payed	house_investments	1577	>1000DM	<1year	4	female	none	1	real_estate	20	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	24	all_existing_credits_payed	house_investments	3972	<100DM	4-7years	2	female	none	4	life_insurance	25	none	rent	1	skilled_employee	1	yes	yes	good_credit
0-200DM	24	other_credits	business	1935	<100DM	>7years	4	male	none	4	real_estate	31	none	own	2	skilled_employee	1	yes	yes	bad_credit
negative	15	all_credits_payed	car(new)	950	<100DM	>7years	4	single_male	none	3	car_other	33	none	rent	2	skilled_employee	2	none	yes	bad_credit
no_account	12	all_existing_credits_payed	house_investments	763	<100DM	1-4years	4	female	none	1	real_estate	26	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	24	delay_in_payments	house_investments	2064	<100DM	unemployed	3	female	none	2	life_insurance	34	none	own	1	high_qualified	1	yes	yes	bad_credit
0-200DM	8	all_existing_credits_payed	house_investments	1414	<100DM	1-4years	4	single_male	guarantor	2	real_estate	33	none	own	1	skilled_employee	1	none	no	good_credit
negative	21	delay_in_payments	education	3414	<100DM	<1year	2	single_male	none	1	life_insurance	26	none	own	2	skilled_employee	1	none	yes	bad_credit
no_account	30	all_credits_payed	car(used)	7485	no_account	unemployed	4	female	none	1	real_estate	53	bank	own	1	high_qualified	1	yes	yes	bad_credit
negative	12	all_existing_credits_payed	house_investments	2577	<100DM	1-4years	2	male	none	1	car_other	42	none	own	1	skilled_employee	1	none	yes	good_credit
negative	6	other_credits	house_investments	338	500-1000DM	>7years	4	single_male	none	4	car_other	52	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	12	all_existing_credits_payed	house_investments	1963	<100DM	4-7years	4	single_male	none	2	car_other	31	none	rent	2	high_qualified	2	yes	yes	good_credit
negative	21	other_credits	car(new)	571	<100DM	>7years	4	single_male	none	4	real_estate	65	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	36	delay_in_payments	business	9572	<100DM	<1year	1	male	none	1	car_other	28	none	own	2	skilled_employee	1	none	yes	bad_credit
0-200DM	36	delay_in_payments	business	4455	<100DM	1-4years	2	male	none	2	real_estate	30	stores	own	2	high_qualified	1	yes	yes	bad_credit
negative	21	all_credits_payed	car(new)	1647	no_account	1-4years	4	single_male	none	2	life_insurance	40	none	own	2	unskilled_employee	2	none	yes	bad_credit
