east.west	north.south	angle	radial.position	velocity
13.438797951	-35.009265900	111.0	37.500000000	1715
12.614551544	-32.862030029	111.0	35.200000763	1751
11.790306091	-30.714797974	111.0	32.900001526	1761
10.966059685	-28.567562103	111.0	30.600000381	1763
10.141812325	-26.420326233	111.0	28.299999237	1758
9.317566872	-24.273090363	111.0	26.000000000	1743
8.493320465	-22.125856400	111.0	23.700000763	1738
7.669074059	-19.978620529	111.0	21.399999619	1732
6.844828129	-17.831386566	111.0	19.100000381	1734
6.020581245	-15.684150696	111.0	16.799999237	1723
5.196335316	-13.536915779	111.0	14.500000000	1706
4.372088909	-11.389680862	111.0	12.199999809	1665
3.547842503	-9.242445946	111.0	9.899999619	1677
2.687759638	-7.001852989	111.0	7.500000000	1679
1.863513231	-4.854618073	111.0	5.199999809	1601
1.039267063	-2.707383394	111.0	2.900000095	1629
0.215020776	-0.560148299	111.0	0.600000024	1621
-0.609225512	1.587086797	111.0	-1.700000048	1574
-1.433471799	3.734321594	111.0	-4.000000000	1559
-2.257718086	5.881556988	111.0	-6.300000191	1540
-3.081964493	8.028792381	111.0	-8.600000381	1525
-3.906210423	10.176026344	111.0	-10.899999619	1517
-4.730456829	12.323261261	111.0	-13.199999809	1506
-5.554703236	14.470496178	111.0	-15.500000000	1481
-6.378949165	16.617731094	111.0	-17.799999237	1465
-7.203196049	18.764966965	111.0	-20.100000381	1468
-8.027441978	20.912200928	111.0	-22.399999619	1465
-8.887524605	23.152793884	111.0	-24.799999237	1454
-9.711771965	25.300029755	111.0	-27.100000381	1448
-10.536017418	27.447263718	111.0	-29.399999619	1441
-11.360263824	29.594499588	111.0	-31.700000763	1441
-12.184510231	31.741733551	111.0	-34.000000000	1430
-13.008756638	33.888969421	111.0	-36.299999237	1434
-13.833002090	36.036201477	111.0	-38.599998474	1445
-14.657249451	38.183441162	111.0	-40.900001526	1464
-15.481495857	40.330677032	111.0	-43.200000763	1471
-16.305742264	42.477909088	111.0	-45.500000000	1442
-17.129987717	44.625144958	111.0	-47.799999237	1436
-17.954233170	46.772377014	111.0	-50.099998474	1434
-18.778480530	48.919616699	111.0	-52.400001526	1428
25.889923096	24.142742157	43.0	35.400001526	1558
24.207805634	22.574144363	43.0	33.099998474	1563
22.452558517	20.937349319	43.0	30.699998856	1581
20.843580246	19.436952591	43.0	28.500000000	1548
19.161466599	17.868356705	43.0	26.199998856	1572
17.479352951	16.299760818	43.0	23.899999619	1574
15.797240257	14.731164932	43.0	21.600000381	1578
14.115125656	13.162568092	43.0	19.299999237	1576
12.433012962	11.593972206	43.0	17.000000000	1583
10.750899315	10.025375366	43.0	14.699999809	1584
9.068785667	8.456779480	43.0	12.399999619	1566
7.313537121	6.819983482	43.0	10.000000000	1568
5.704558849	5.319587231	43.0	7.800000191	1577
3.949310064	3.682791233	43.0	5.400000095	1587
2.194061041	2.045994997	43.0	3.000000000	1606
0.511947572	0.477398843	43.0	0.699999988	1593
-1.097030520	-1.022997499	43.0	-1.500000000	1584
-2.779144049	-2.591593742	43.0	-3.799999952	1595
-4.461257458	-4.160190105	43.0	-6.099999905	1617
-6.070235729	-5.660586357	43.0	-8.300000191	1552
-7.825484276	-7.297382355	43.0	-10.699999809	1597
-9.507597923	-8.865978241	43.0	-13.000000000	1615
-11.189711571	-10.434575081	43.0	-15.300000191	1626
-12.871825218	-12.003170967	43.0	-17.600000381	1626
-14.553937912	-13.571766853	43.0	-19.899999619	1586
-16.236053467	-15.140363693	43.0	-22.200000763	1624
-23.110776901	-21.551149368	43.0	-31.600000381	1600
-24.719755173	-23.051544189	43.0	-33.799999237	1585
1.975958228	-45.256885529	92.5	45.299999237	1738
1.775309086	-40.661262512	92.5	40.700000763	1690
1.674984574	-38.363452911	92.5	38.400001526	1729
1.574659824	-36.065639496	92.5	36.099998474	1719
1.474335313	-33.767829895	92.5	33.799999237	1702
1.374010682	-31.470018387	92.5	31.500000000	1754
1.273686171	-29.172208786	92.5	29.200000763	1741
1.173361540	-26.874397278	92.5	26.899999619	1736
1.073036909	-24.576585770	92.5	24.600000381	1731
0.972712278	-22.278774261	92.5	22.299999237	1725
0.872387767	-19.980964661	92.5	20.000000000	1710
0.767701209	-17.583248138	92.5	17.600000381	1673
0.667376637	-15.285437584	92.5	15.300000191	1669
0.567052007	-12.987627029	92.5	13.000000000	1641
0.466727436	-10.689816475	92.5	10.699999809	1675
0.366402835	-8.392004967	92.5	8.399999619	1681
0.266078264	-6.094193935	92.5	6.099999905	1645
0.165753663	-3.796383142	92.5	3.799999952	1594
0.065429084	-1.498572350	92.5	1.500000000	1583
-0.034895509	0.799238563	92.5	-0.800000012	1599
-0.135220096	3.097049475	92.5	-3.099999905	1578
-0.235544696	5.394860268	92.5	-5.400000095	1548
-0.335869282	7.692671299	92.5	-7.699999809	1543
-0.436193883	9.990482330	92.5	-10.000000000	1537
-0.536518455	12.288292885	92.5	-12.300000191	1543
-0.636843085	14.586104393	92.5	-14.600000381	1519
-0.741529584	16.983819962	92.5	-17.000000000	1500
-0.841854155	19.281629562	92.5	-19.299999237	1488
-0.942178786	21.579441071	92.5	-21.600000381	1486
-1.042503357	23.877252579	92.5	-23.899999619	1483
-1.142827988	26.175064087	92.5	-26.200000763	1481
-1.243152499	28.472873688	92.5	-28.500000000	1485
-1.343477130	30.770685196	92.5	-30.799999237	1480
-1.443801641	33.068492889	92.5	-33.099998474	1479
-1.544126391	35.366310120	92.5	-35.400001526	1505
-1.644450903	37.664119720	92.5	-37.700000763	1482
-1.744775534	39.961929321	92.5	-40.000000000	1481
-1.845100045	42.259738922	92.5	-42.299999237	1489
24.853218079	49.847843170	63.5	55.700000763	1531
23.826963425	47.789497375	63.5	53.400001526	1533
22.800706863	45.731143951	63.5	51.099998474	1539
21.729833603	43.583305359	63.5	48.700000763	1526
20.703578949	41.524955750	63.5	46.400001526	1551
19.677322388	39.466602325	63.5	44.099998474	1549
18.651067734	37.408256531	63.5	41.799999237	1532
16.553937912	33.202064514	63.5	37.099998474	1538
15.572304726	31.233211517	63.5	34.900001526	1550
14.546048164	29.174858093	63.5	32.599998474	1536
13.475173950	27.027017593	63.5	30.200000763	1519
12.448918343	24.968667984	63.5	27.899999619	1536
11.422664642	22.910320282	63.5	25.600000381	1535
10.396409035	20.851970673	63.5	23.299999237	1536
9.370154381	18.793621063	63.5	21.000000000	1533
8.343899727	16.735273361	63.5	18.700000763	1528
7.317644119	14.676922798	63.5	16.399999619	1539
6.291389465	12.618575096	63.5	14.100000381	1546
5.265134335	10.560224533	63.5	11.800000191	1552
4.238879204	8.501876831	63.5	9.500000000	1557
3.212624073	6.443527222	63.5	7.199999809	1573
2.186369419	4.385178566	63.5	4.900000095	1553
1.160114288	2.326829195	63.5	2.599999905	1576
0.133859351	0.268480331	63.5	0.300000012	1591
-0.937015355	-1.879362106	63.5	-2.099999905	1591
-1.963270426	-3.937711239	63.5	-4.400000095	1624
-2.989525318	-5.996059895	63.5	-6.699999809	1633
-4.015780449	-8.054409027	63.5	-9.000000000	1597
-5.042035580	-10.112758636	63.5	-11.300000191	1605
-6.068290234	-12.171107292	63.5	-13.600000381	1629
-7.049925327	-14.139963150	63.5	-15.800000191	1658
-8.076180458	-16.198312759	63.5	-18.100000381	1664
-9.147055626	-18.346155167	63.5	-20.500000000	1667
-10.173309326	-20.404502869	63.5	-22.799999237	1671
-11.199564934	-22.462852478	63.5	-25.100000381	1687
-12.225819588	-24.521202087	63.5	-27.399999619	1682
-13.252075195	-26.579551697	63.5	-29.700000763	1668
-14.278329849	-28.637899399	63.5	-32.000000000	1673
-15.304585457	-30.696247101	63.5	-34.299999237	1684
-16.330839157	-32.754596710	63.5	-36.599998474	1668
-17.357095718	-34.812946320	63.5	-38.900001526	1618
-18.383350372	-36.871295929	63.5	-41.200000763	1658
-19.409605026	-38.929645538	63.5	-43.500000000	1644
-20.435859680	-40.987991333	63.5	-45.799999237	1647
-21.462114334	-43.046340942	63.5	-48.099998474	1642
-22.488370895	-45.104694366	63.5	-50.400001526	1616
29.484140396	6.536476612	12.5	30.200000763	1629
27.043399811	5.995377541	12.5	27.700000763	1610
25.090808868	5.562498093	12.5	25.700000763	1603
22.650068283	5.021399021	12.5	23.200000763	1613
20.404586792	4.523587704	12.5	20.899999619	1603
18.159105301	4.025776863	12.5	18.600000381	1606
15.913623810	3.527965546	12.5	16.299999237	1603
13.765773773	3.051798582	12.5	14.100000381	1608
11.422662735	2.532343388	12.5	11.699999809	1613
9.177182198	2.034532309	12.5	9.399999619	1616
6.931701660	1.536721230	12.5	7.099999905	1615
4.588591099	1.017266154	12.5	4.699999809	1611
2.440740108	0.541099012	12.5	2.500000000	1580
0.097629599	0.021643961	12.5	0.100000001	1580
-2.050221443	-0.454523176	12.5	-2.099999905	1586
-4.198072910	-0.930690408	12.5	-4.300000191	1591
-6.638813019	-1.471789360	12.5	-6.800000191	1592
-8.884294510	-1.969600558	12.5	-9.100000381	1562
-11.129774094	-2.467411518	12.5	-11.399999619	1572
-13.277626038	-2.943578720	12.5	-13.600000381	1589
-15.523106575	-3.441389799	12.5	-15.899999619	1588
-17.866216660	-3.960844755	12.5	-18.299999237	1585
-20.111698151	-4.458656311	12.5	-20.600000381	1586
-22.357177734	-4.956467152	12.5	-22.899999619	1573
-24.602659225	-5.454278469	12.5	-25.200000763	1573
-26.848140717	-5.952089310	12.5	-27.500000000	1558
-29.093620300	-6.449900150	12.5	-29.799999237	1566
10.886912346	-49.107688904	102.5	50.299999237	1740
9.393479347	-42.371246338	102.5	43.400001526	1704
8.917312622	-40.223396301	102.5	41.200000763	1748
8.397856712	-37.880283356	102.5	38.799999237	1757
7.921689510	-35.732433319	102.5	36.599998474	1775
7.423878670	-33.486953735	102.5	34.299999237	1765
6.926067829	-31.241472244	102.5	32.000000000	1762
6.428256512	-28.995992661	102.5	29.700000763	1752
5.908801079	-26.652879715	102.5	27.299999237	1752
5.410990238	-24.407400131	102.5	25.000000000	1753
4.913179398	-22.161920547	102.5	22.700000763	1753
4.415368080	-19.916439056	102.5	20.399999619	1748
3.917557001	-17.670957565	102.5	18.100000381	1730
3.441389799	-15.523106575	102.5	15.899999619	1709
2.921934843	-13.179995537	102.5	13.500000000	1688
2.424123526	-10.934514999	102.5	11.199999809	1687
1.926312447	-8.689034462	102.5	8.899999619	1678
1.428501487	-6.443553448	102.5	6.599999905	1654
0.930690408	-4.198072910	102.5	4.300000191	1634
0.432879239	-1.952592015	102.5	2.000000000	1611
-0.064931884	0.292888820	102.5	-0.300000012	1590
-0.562742949	2.538369417	102.5	-2.599999905	1562
-1.060554147	4.783850670	102.5	-4.900000095	1565
-1.558365226	7.029331207	102.5	-7.199999809	1541
-2.077820301	9.372442245	102.5	-9.600000381	1537
-2.553987503	11.520293236	102.5	-11.800000191	1515
-3.073442459	13.863403320	102.5	-14.199999809	1498
-3.571253538	16.108884811	102.5	-16.500000000	1479
-4.069064617	18.354364395	102.5	-18.799999237	1481
-4.566875935	20.599845886	102.5	-21.100000381	1475
-5.064686775	22.845325470	102.5	-23.399999619	1466
-5.562498093	25.090808868	102.5	-25.700000763	1461
-6.060309410	27.336288452	102.5	-28.000000000	1457
-6.558120251	29.581768036	102.5	-30.299999237	1455
-7.055931091	31.827247620	102.5	-32.599998474	1452
-7.575386524	34.170360565	102.5	-35.000000000	1453
-8.073197365	36.415840149	102.5	-37.299999237	1448
-8.549365044	38.563694000	102.5	-39.500000000	1469
-9.090463638	41.004432678	102.5	-42.000000000	1456
-9.588274956	43.249912262	102.5	-44.299999237	1448
-10.042798042	45.300136566	102.5	-46.400001526	1409
-10.540609360	47.545616150	102.5	-48.700000763	1416
-11.060064316	49.888725281	102.5	-51.099998474	1429
