climbRate	Sgz	p	q	curPitch	curRoll	absRoll	diffClb	diffRollRate	diffDiffClb	SeTime1	SeTime2	SeTime3	SeTime4	SeTime5	SeTime6	SeTime7	SeTime8	SeTime9	SeTime10	SeTime11	SeTime12	SeTime13	SeTime14	diffSeTime1	diffSeTime2	diffSeTime3	diffSeTime4	diffSeTime5	diffSeTime6	diffSeTime7	diffSeTime8	diffSeTime9	diffSeTime10	diffSeTime11	diffSeTime12	diffSeTime13	diffSeTime14	alpha	Se	Goal	GoalDisc
-323	-7	-0.22	0.09	0.9	0.7	-10	-3	-0.007	-0.4	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.022	0.022	0.022	0.022	0.022	0	0	0	0	0	0	0	0	-0.002	0	0	0	0	0	0.6	0.022	-0.0007	>avg
-344	-12	-0.28	-0.03	0.9	0.5	-11	3	-0.006	1.6	0.018	0.018	0.018	0.019	0.019	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0	0	-0.002	0	-0.002	0	-0.001	0	-0.001	0	0	0	0	0	0.6	0.02	-0.0006	>avg
349	-16	0.19	0.09	0.24	0	-11	8	0.009	-3.1	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.02	-0.0007	>avg
416	-6	0.31	0.1	0.18	0.4	-11	4	0.004	-1	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.6	0.021	-0.0009	<avg
-385	1	-0.25	0.16	0.99	1.1	-10	-14	-0.01	0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.022	0.022	0.023	0	0	0	0	0	0	0	0	0	0	-0.002	0	-0.002	0	0.6	0.023	-0.0008	>avg
-428	-12	-0.35	0.05	0.98	0.7	-10	-2	-0.003	-0.6	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	-0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.02	-0.0007	>avg
74	-41	0.16	-0.03	0.47	-0.7	-12	8	0.009	-0.1	0.02	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0009	<avg
-23	-23	-0.28	0.08	0.6	-0.6	-12	-4	-0.004	0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.02	-0.0007	>avg
-111	-36	0.36	-0.04	0.63	-0.5	-11	5	0.004	1.4	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0009	<avg
-32	-38	0.37	0.12	0.58	0.3	-11	3	-0.01	-1	0.019	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	-0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.02	-0.0008	>avg
-105	-40	0.22	-0.03	0.65	0.8	-10	-2	-0.007	1.5	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.019	-0.001	<avg
-79	-44	-0.11	0.04	0.62	1	-10	-1	-0.014	-0.1	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.02	-0.0009	<avg
-80	-47	-0.31	-0.07	0.6	0.7	-10	3	-0.011	1.7	0.019	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.018	-0.0007	>avg
280	-22	0.27	0.04	0.28	-0.5	-11	2	0.004	-0.1	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0008	>avg
216	-9	0.24	0.1	0.37	0.4	-11	-8	-0.007	0.5	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.02	-0.001	<avg
-120	-5	-0.24	0.14	0.69	0.6	-10	-11	-0.017	-0.1	0.02	0.02	0.02	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0	0	-0.002	0	-0.001	0	0	0	0	0	0	0	0	0	0.6	0.021	-0.0009	<avg
-182	-6	-0.33	0.14	0.74	0.4	-11	-11	-0.016	0	0.018	0.018	0.018	0.018	0.018	0.02	0.02	0.02	0.02	0.021	0.021	0.021	0.021	0.021	-0.001	0	0	0	-0.002	0	0	0	-0.002	0	-0.001	0	0	0	0.6	0.021	-0.0008	>avg
-245	-12	-0.45	-0.03	0.74	-0.2	-11	6	-0.004	1.1	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.018	0	0	0	0	0	0	0	0	0	0	0	0	-0.002	0	0.5	0.018	-0.0006	>avg
180	-15	-0.19	-0.11	0.3	-1.3	-12	20	0.013	-0.7	0.017	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.016	-0.0007	>avg
493	27	0.33	0.09	0.11	-0.7	-12	-8	0.006	0.6	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.02	-0.0008	>avg
301	45	0.32	0.13	0.29	0.3	-11	-11	-0.008	0.1	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.02	-0.001	<avg
-220	44	-0.44	0.09	0.75	-0.1	-11	-5	-0.009	0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.02	-0.0007	>avg
-241	33	-0.41	0.01	0.72	-1.4	-12	9	0.013	-0.5	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.018	-0.0006	>avg
51	26	0.19	-0.01	0.46	-1.8	-13	8	0.014	-0.1	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.018	-0.0007	>avg
243	34	0.48	0.01	0.29	-0.8	-12	6	0.003	-0.2	0.019	0.019	0.019	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0.5	0.018	-0.0008	>avg
282	44	0.47	0.06	0.28	0.3	-11	-4	-0.008	0.4	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0009	<avg
-77	59	-0.37	0.08	0.61	0.7	-10	-5	-0.008	0	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0008	>avg
-152	55	-0.46	0.07	0.68	-0.1	-11	-4	-0.002	0.3	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0007	>avg
-191	32	0.19	0.06	0.7	-1.6	-12	0	0.01	-0.1	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0008	>avg
-226	22	0.28	0.08	0.74	-0.7	-12	-3	-0.004	-0.2	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0009	<avg
-132	-13	-0.24	0.03	0.64	-0.5	-11	3	-0.005	0	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.018	-0.0008	>avg
469	26	0.25	0.02	0.09	-0.4	-11	4	0.001	-0.1	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.018	0.018	0.018	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.5	0.018	-0.0009	<avg
103	72	-0.31	0.09	0.45	-0.6	-11	-5	-0.005	0	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0007	>avg
-27	74	0.4	0.06	0.55	-0.8	-12	-2	0.006	-0.1	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0008	>avg
-91	72	0.39	0.08	0.62	0.5	-10	-5	-0.008	0.1	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0009	<avg
-324	56	-0.12	0.08	0.84	1.3	-10	-6	-0.012	0	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0008	>avg
-465	34	-0.33	0.08	0.96	0.5	-11	-5	-0.004	0	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	-0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0007	>avg
-534	11	-0.28	0.07	1.02	-0.5	-11	-2	0.006	-0.1	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.019	0.019	0.019	0.019	0.019	-0.001	0	0	0	0	0	0	0	-0.002	0	0	0	0	0	0.5	0.019	-0.0006	>avg
-250	-26	0.28	-0.02	0.73	-0.6	-12	7	0.01	-0.1	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.018	-0.0008	>avg
-103	-37	0.22	0.06	0.63	1.4	-10	-4	-0.01	0.4	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.001	<avg
-226	-44	-0.13	0.09	0.76	1.6	-9	-8	-0.02	0.1	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.02	0	0	0	0	0	0	0	0	0	0	0	0	-0.002	0	0.6	0.02	-0.0008	>avg
-231	-53	-0.4	0.01	0.72	0.9	-10	4	-0.004	0.3	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0	0	0	0	0	0	-0.001	0	0	0	0	0	0	0	0.5	0.018	-0.0007	>avg
-10	-61	-0.3	-0.06	0.5	-0.4	-11	10	0.007	0.2	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.017	-0.0006	>avg
257	-56	-0.1	-0.06	0.25	-0.9	-12	12	0.01	-0.2	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.017	-0.0007	>avg
517	-35	0.19	0.01	0.04	-0.7	-12	6	0.008	0	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.5	0.018	-0.0009	<avg
287	13	-0.11	0.16	0.32	0.2	-11	-14	-0.009	-0.5	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.02	-0.0008	>avg
60	20	-0.23	0.1	0.49	-0.4	-11	-5	-0.002	-0.5	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0007	>avg
118	27	0.23	0.07	0.42	-0.7	-12	-2	0.007	-0.3	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0008	>avg
-14	32	0.18	0.08	0.55	0.4	-11	-5	-0.007	0	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0009	<avg
-200	26	-0.13	0.09	0.72	0.6	-10	-6	-0.009	0	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.0007	>avg
48	-12	0.21	0.01	0.47	0.4	-11	4	0.002	-0.1	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.018	-0.0008	>avg
70	-11	0.22	0.01	0.45	0.5	-11	4	0.001	-0.1	0.019	0.019	0.019	0.019	0.019	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.5	0.018	-0.0009	<avg
-136	-11	-0.25	-0.01	0.64	0.6	-10	2	-0.008	1.4	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	-0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.018	-0.0008	>avg
-90	-16	-0.35	0.03	0.59	-0.3	-11	3	0.003	-0.2	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.018	-0.0007	>avg
350	8	0.32	0.02	0.19	-0.2	-11	3	0.003	-0.1	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.5	0.018	-0.0009	<avg
371	15	0.34	0.11	0.2	0.3	-11	-5	0.001	-1.5	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.001	<avg
59	33	-0.32	0.11	0.5	0.5	-10	-8	-0.016	0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	-0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.02	-0.0007	>avg
-5	32	-0.37	0.01	0.51	-0.9	-12	3	0.011	0.3	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.018	-0.0006	>avg
249	41	0.26	0.01	0.28	-1.2	-12	5	0.012	-0.1	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.018	-0.0007	>avg
347	51	0.45	0.1	0.2	-0.5	-11	3	0.005	-0.8	0.02	0.02	0.02	0.02	0.02	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.5	0.019	-0.001	<avg
198	62	0.4	0.17	0.39	0.7	-10	-14	-0.017	-0.3	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.021	-0.0009	<avg
-375	55	-0.17	0.15	0.91	1.1	-10	-14	-0.011	0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.02	-0.0008	>avg
-571	43	-0.31	0.06	1.08	0.7	-10	-12	-0.005	0.7	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.019	0	0	0	0	0	0	0	0	0	0	-0.001	0	-0.002	0	0.6	0.019	-0.0007	>avg
